Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%)
DUK,Utilities,-3.911454712574388,0.0019521454559909333,3,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.23900903781087082,0.1,6,0.347,0.463,0.574,0.739,1100.0843226136521,974.6119913389218,13.3394,14.3339,86.6606
ECL,Materials,-0.6607708147802834,0.856650853985903,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.7557447790631517,0.01,6,0.347,0.463,0.574,0.739,242.0675801267885,213.1572750603969,5.8482,5.9185,94.1518
EIX,Utilities,-0.4828514869157027,0.8953196945181547,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,1.662346424535872,0.01,4,0.347,0.463,0.574,0.739,1178.4469579972383,1054.0793634468505,24.3255,28.459,75.6745
EMN,Materials,-1.323822906739106,0.6182040653467353,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.5722923958846518,0.01,6,0.347,0.463,0.574,0.739,287.7206418529003,224.26881383295034,8.9701,9.5716,91.0299
EMR,Industrials,-2.0935287145531123,0.2471246873313545,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,0.5376187136149861,0.03319398342004816,6,0.347,0.463,0.574,0.739,595.3511546025841,530.3552788386717,12.4298,13.0944,87.5702
ES,Utilities,-0.025533717925122573,0.956368833405666,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.3797748751258114,0.01,6,0.347,0.463,0.574,0.739,828.8437879359783,704.4697516135085,23.2752,27.2694,76.7248
ETN,Industrials,-0.1271568954515545,0.946665518992912,0,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.7381193172362484,0.01,6,0.347,0.463,0.574,0.739,1012.8356289191573,821.7350020038349,13.8317,14.5815,86.1683
ETR,Utilities,-3.0271790145942323,0.03243300472148379,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,1.3412373992367164,0.01,4,0.347,0.463,0.574,0.739,519.0609975465387,434.789674277203,13.5335,14.8155,86.4665
EXC,Utilities,-1.6035484334006456,0.48181074648323036,3,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.4334798686054984,0.01,6,0.347,0.463,0.574,0.739,3279.4115303404083,3037.346266164016,57.8324,42.8087,42.1676
F,Consumer Discretionary,-2.331745549068595,0.1619336803000842,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.1758099916267413,0.1,5,0.347,0.463,0.574,0.739,8571.257116791141,7127.299573912037,17.6922,17.9695,82.3078
FDX,Industrials,0.004249945541315489,0.9588821455477857,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,1.7505401060154764,0.01,6,0.347,0.463,0.574,0.739,2532.4607403908444,2210.4528722255336,9.9174,9.9419,90.0826
FITB,Financial ,-0.8367958428970141,0.8080739620857177,7,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,1.1634872277539783,0.01,6,0.347,0.463,0.574,0.739,497.3657818796341,443.36049400289966,18.69,17.008,81.31
GD,Industrials,-0.3895494873511319,0.9118290707815506,10,112,-3.4901313156261384,-2.8877122815688776,-2.5807296460459184,1.7405083208385708,0.01,6,0.347,0.463,0.574,0.739,1081.2060727801872,861.2356377385527,7.3677,7.621,92.6323
GE,Industrials,-0.2871014398856577,0.9273113919548398,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.6404168705769486,0.018962102674822852,6,0.347,0.463,0.574,0.739,6702.322614041723,5883.850358015033,51.7812,37.7021,48.2188
GIS,Consumer Staples,-1.5562471087946155,0.505526218784191,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.724116123522238,0.01,6,0.347,0.463,0.574,0.739,687.2698826601444,623.9232237404301,12.8624,13.9355,87.1376
GL,Financial ,0.9450153535076043,0.993650546943718,3,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.7417366607248244,0.01,6,0.347,0.463,0.574,0.739,233.31317258660937,206.79173819578133,14.7864,16.2582,85.2136
GLW,Information Technology,0.12900030876419125,0.9679862057821892,6,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.657944715877457,0.01,6,0.347,0.463,0.574,0.739,1166.692727357044,1096.0072504893903,30.4834,36.5167,69.5166
GPC,Consumer Discretionary,2.74007438737958,1.0,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.7765244699762122,0.01,6,0.347,0.463,0.574,0.739,1447.2635584736065,1300.714438464767,22.4439,25.8699,77.5561
GWW,Industrials,2.0073542469239567,0.9986824313726427,6,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,1.7229550436279562,0.01,6,0.347,0.463,0.574,0.739,826.8724537739798,716.8983950625171,17.2153,19.3295,82.7847
HAL,Energy,-2.9912124340371626,0.03572323770264074,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.8912829168907597,0.01,6,0.347,0.463,0.574,0.739,968.8965513379245,815.0016918876811,19.564,17.3283,80.436
HAS,Consumer Discretionary,-1.233665820047783,0.6589485106851355,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,3.542052656969754,0.01,0,0.347,0.463,0.574,0.739,344.9911178086973,273.66395158581815,22.4764,19.3062,77.5236
HD,Consumer Discretionary,0.3208642222729664,0.9782817334508286,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.6381647393694823,0.01,6,0.347,0.463,0.574,0.739,11682.064685046033,11036.73415334072,27.5065,32.3354,72.4935
HES,Energy,-1.815890793239463,0.372601381987667,0,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,0.3373108438617667,0.1,6,0.347,0.463,0.574,0.739,1147.6857336749033,1020.6206852919084,39.604,47.9221,60.396
HIG,Financial ,-2.6406184853320154,0.08488942486900952,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.7698333892640555,0.01,5,0.347,0.463,0.574,0.739,1268.1780486960474,1002.6365001533602,15.0063,16.9489,84.9937
HON,Industrials,-1.684888452127918,0.4389147363769574,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,1.4939483377977838,0.01,6,0.347,0.463,0.574,0.739,695.563830026106,572.5032061642387,6.2862,6.1987,93.7138
HPQ,Information Technology,-1.4468591988899802,0.5596166885176528,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.41443883617132804,0.07093153613304826,6,0.347,0.463,0.574,0.739,1230.9268168733156,1068.383444185434,7.5085,7.3883,92.4915
HSY,Consumer Staples,2.5393302958890143,0.9990614454678706,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.6910425002252987,0.01,6,0.347,0.463,0.574,0.739,608.8357581321515,525.541689820838,19.5561,22.3177,80.4439
HUM,Healthcare,2.643957896417928,0.999081997855692,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6848727725415984,0.01,6,0.347,0.463,0.574,0.739,4326.184414932987,3920.950145602011,14.4211,15.6799,85.5789
HWM,Industrials,-1.966253197503374,0.3015630301907569,9,36,-3.626651907578875,-2.9459512825788754,-2.6116707716049383,0.7013074358548849,0.013426596740465011,3,0.347,0.463,0.574,0.739,66.05972038841347,55.53839288169138,2.8606,2.9121,97.1394
IBM,Information Technology,-0.5725497805274657,0.8770648033589266,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,0.6226474861544338,0.020577501258687837,6,0.347,0.463,0.574,0.739,4671.8969079390545,3505.5481565164223,39.4661,22.2727,60.5339
IFF,Materials,0.26697572862917607,0.9757775743028377,6,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,1.2256055656733782,0.01,6,0.347,0.463,0.574,0.739,1483.1997689326033,1359.5782546824737,47.0109,64.8303,52.9891
INTC,Information Technology,-1.7223344595510715,0.41964337930015005,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,1.5758477660919599,0.01,6,0.347,0.463,0.574,0.739,5623.5197380740465,4872.649231555104,35.6332,28.6158,64.3668
IP,Consumer Discretionary,-2.470693347208554,0.12276873795723658,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.41963990577785276,0.06868969578540829,5,0.347,0.463,0.574,0.739,973.3889898176312,805.0885995355795,17.1638,15.3944,82.8362
IPG,Communication Services,-1.5225020105046896,0.5223520083906299,13,108,-3.4924012594942333,-2.8886968193364835,-2.5812552709190673,1.6398770552403883,0.01,6,0.347,0.463,0.574,0.739,194.62272497101335,154.39187023774,6.2389,6.1324,93.7611
ITW,Industrials,-2.2208200244945475,0.1987759481548531,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.220996683466163,0.01,6,0.347,0.463,0.574,0.739,645.2839288073942,608.0045792703168,15.7482,16.936,84.2518
JNJ,Healthcare,-0.8279135611484486,0.8107848643361837,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.8071267249955472,0.01,6,0.347,0.463,0.574,0.739,1637.5664393093848,1503.4884430080856,6.7896,6.6507,93.2104
JPM,Financial ,0.9948250869178666,0.9942110460096202,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.449875953100743,0.01,6,0.347,0.463,0.574,0.739,26824.9768609613,21330.778919153425,33.0262,43.6696,66.9738
K,Consumer Staples,-1.859683526462743,0.3512583068661994,13,108,-3.4924012594942333,-2.8886968193364835,-2.5812552709190673,1.5450643568069202,0.01,6,0.347,0.463,0.574,0.739,225.88008235046405,173.69425918703504,4.9752,5.0974,95.0248
KEY,Financial ,-0.4122673341033911,0.9080303354501879,2,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,0.3617578669844176,0.09363885043775104,6,0.347,0.463,0.574,0.739,744.6392496171985,592.4649483951835,22.8682,27.5632,77.1318
KMB,Consumer Staples,-4.937490387762246,2.9464560073274513e-05,0,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.5937867336417786,0.01,5,0.347,0.463,0.574,0.739,393.7619737288973,365.27163412262394,7.622,7.7555,92.378
KO,Consumer Staples,-1.1925532441624906,0.6767908866047923,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.4594415020697304,0.01,6,0.347,0.463,0.574,0.739,2422.3118588231614,2183.5044182098845,19.435,21.4881,80.565
KR,Consumer Staples,-0.5385568246148534,0.8842702632563841,13,105,-3.4942202045135513,-2.889485291005291,-2.5816762131519275,1.7848181136777348,0.01,6,0.347,0.463,0.574,0.739,3899.6033935994305,3506.031436679923,9.669,10.1906,90.331
L,Financial ,-1.7058143169490938,0.4281192832219368,4,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.18383421682535,0.01,5,0.347,0.463,0.574,0.739,700.4218450801,552.6021053733398,12.9284,14.3368,87.0716
LIN,Materials,0.11867712898151096,0.9673133753413303,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.455315993787376,0.01,6,0.347,0.463,0.574,0.739,2151.255380381829,1771.1519922196956,21.6334,18.7962,78.3666
LLY,Healthcare,2.1951033941506504,0.9988784518607524,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.5371739711374093,0.01,6,0.347,0.463,0.574,0.739,5300.176945302723,4019.691909614453,34.6006,45.5774,65.3994
LMT,Industrials,0.5502791427121467,0.9863237740281711,6,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.746459301024904,0.01,6,0.347,0.463,0.574,0.739,1771.20530242306,1501.4123285411779,8.4153,8.8944,91.5847
LOW,Consumer Discretionary,-0.6111347119109062,0.8684461364655314,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7635184174986134,0.01,6,0.347,0.463,0.574,0.739,3341.5283786113964,2662.584294847459,11.2154,12.2654,88.7846
LUV,Industrials,-0.7391916241625837,0.8363352363308738,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.6616947791502155,0.01,6,0.347,0.463,0.574,0.739,2111.5004416578226,1946.4764571380629,52.9918,40.7948,47.0082
MAS,Industrials,-2.5877319790377165,0.09555941968311232,8,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,0.2905505583522336,0.1,6,0.347,0.463,0.574,0.739,260.163780796454,222.6575164690125,11.1273,11.7474,88.8727
MCD,Consumer Discretionary,-1.7633304936033136,0.3988129688723013,9,112,-3.4901313156261384,-2.8877122815688776,-2.5807296460459184,1.2913553308763135,0.01,6,0.347,0.463,0.574,0.739,963.716660304029,830.6013141384375,13.7221,14.3758,86.2779
MDT,Healthcare,-0.1603446657530389,0.9430863011719772,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.8102769932693736,0.01,6,0.347,0.463,0.574,0.739,2169.156544182594,1999.3719358975259,24.9048,21.7959,75.0952
MMC,Financial ,1.7854991006903587,0.9983198190407266,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.5256085301626672,0.01,6,0.347,0.463,0.574,0.739,553.0526122548631,460.28458461979704,7.8253,8.1426,92.1747
MMM,Industrials,-1.6826901385171862,0.44005237924815965,0,122,-3.4851223522012855,-2.88553750045158,-2.5795685622144586,1.534393878693088,0.01,6,0.347,0.463,0.574,0.739,1402.3649680999029,1232.853599359848,18.6167,16.6886,81.3833
MO,Consumer Staples,-1.3483861041041805,0.6067554065813563,5,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.3537892358226606,0.01,6,0.347,0.463,0.574,0.739,369.7143691896213,319.49846498921454,6.0812,6.252,93.9188
MRK,Healthcare,-1.217864611626555,0.665863984780845,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.1517472698408213,0.01,6,0.347,0.463,0.574,0.739,2803.1966097331315,2530.8826032611587,17.2587,18.6601,82.7413
MRO,Energy,-1.5792815393166935,0.49399215370820215,10,108,-3.4924012594942333,-2.8886968193364835,-2.5812552709190673,0.5587745437903312,0.028429156803979453,6,0.347,0.463,0.574,0.739,411.21911378028756,350.5940791329594,29.7916,25.542,70.2084
MS,Financial ,2.3557704279660823,0.9989879509750778,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.2811639982164393,0.01,6,0.347,0.463,0.574,0.739,11041.847193598853,8471.437205671806,38.332,51.6653,61.668
MSFT,Information Technology,3.5885473000985617,1.0,8,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.5897195818693381,0.01,6,0.347,0.463,0.574,0.739,25875.37379002994,22420.62739296576,35.9589,45.7939,64.0411
MU,Information Technology,1.1182121140020718,0.9953690972475633,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.6117064647398875,0.01,6,0.347,0.463,0.574,0.739,3781.094692436185,3094.474416793373,36.5299,46.6219,63.4701
NEE,Utilities,0.6103171679503071,0.9878671880901392,7,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,1.6396239699420827,0.01,6,0.347,0.463,0.574,0.739,1753.2361664848693,1528.318804553698,24.6922,26.7219,75.3078
