Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
GE,Industrials,-0.28710143988565756,0.9273113919548398,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.6404168705769486,0.018962102674822852,6,0.347,0.463,0.574,0.739,4909.850955090911,4137.000238069085,14.774,16.0334,85.226,6042.770838570469,4977.215782894768,46.4018,33.7832,53.5982,85,18,19
GIS,Consumer Staples,-1.5562471087946144,0.5055262187841916,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.724116123522238,0.01,6,0.347,0.463,0.574,0.739,321.9685502554586,284.18196045111085,6.8974,6.7204,93.1026,228.8495694481572,189.54832892269945,3.9792,3.8947,96.0208,85,18,19
GL,Financial ,0.9450153535076053,0.9936505469437181,3,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.7417366607248244,0.01,6,0.347,0.463,0.574,0.739,226.25031886857798,215.96828332825277,19.6759,22.0058,80.3241,190.1189422995379,171.1893522278437,12.3985,13.3553,87.6015,85,18,19
GLW,Information Technology,0.12900030876419083,0.9679862057821892,6,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.657944715877457,0.01,6,0.347,0.463,0.574,0.739,717.444628648087,681.3918813130651,24.9207,28.7585,75.0793,646.5572664291471,608.5826975930319,17.5827,19.4635,82.4173,85,18,19
GPC,Consumer Discretionary,2.740074387379575,1.0,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.7765244699762122,0.01,6,0.347,0.463,0.574,0.739,549.6927507078747,441.1505990918786,9.7594,10.5171,90.2406,1360.3328427285032,1251.854968815623,22.1445,25.3541,77.8555,85,18,19
GWW,Industrials,2.0073542469239527,0.9986824313726427,6,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,1.7229550436279564,0.01,6,0.347,0.463,0.574,0.739,206.7416845622169,169.87579018700055,5.964,6.2113,94.036,988.9047370461627,876.8773479929145,21.4018,24.6482,78.5982,85,18,19
HAL,Energy,-2.991212434037161,0.035723237702640916,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.8912829168907597,0.01,6,0.347,0.463,0.574,0.739,1215.2129187836333,1085.5060072339666,21.4077,22.8515,78.5923,2231.0938396100228,2041.2257217233278,38.1729,48.7825,61.8271,85,18,19
HAS,Consumer Discretionary,-1.233665820047782,0.6589485106851359,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,3.542052656969754,0.01,0,0.347,0.463,0.574,0.739,117.97100309504005,95.80090254497844,8.451,8.423,91.549,313.29521975644,253.61702337139616,18.9415,20.2221,81.0585,85,18,19
HD,Consumer Discretionary,0.32086422227296557,0.9782817334508286,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.6381647393694825,0.01,6,0.347,0.463,0.574,0.739,1727.479011187835,1128.0349015605177,3.8408,3.891,96.1592,3412.687730036516,3052.383403761632,8.0842,8.0708,91.9158,85,18,19
HES,Energy,-1.8158907932394623,0.37260138198766735,0,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,0.3373108438617667,0.1,6,0.347,0.463,0.574,0.739,928.837231356792,867.6561150702561,59.7892,89.0321,40.2108,1571.8737234735975,1435.5675318639926,52.0153,73.3522,47.9847,85,18,18
