Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
GD,Industrials,-0.3895494873511319,0.9118290707815506,10,112,-3.4901313156261384,-2.8877122815688776,-2.5807296460459184,1.7405083208385708,0.01,6,0.347,0.463,0.574,0.739,1585.1219258342546,1241.303523025663,13.0874,14.5673,86.9126,1003.5223326270653,696.1720628784514,5.9436,6.2579,94.0564,85,18,19
GE,Industrials,-0.2871014398856577,0.9273113919548398,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.6404168705769486,0.018962102674822852,6,0.347,0.463,0.574,0.739,4663.6684477574,4033.9985162778175,16.8621,15.7962,83.1379,3433.442542094747,2892.1377333369146,23.9217,21.1862,76.0783,85,18,19
GIS,Consumer Staples,-1.5562471087946155,0.505526218784191,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.724116123522238,0.01,6,0.347,0.463,0.574,0.739,342.35618062039913,227.79021726495031,5.359,5.4418,94.641,414.0873152385616,340.22252969640317,6.801,7.1512,93.199,85,18,19
GL,Financial ,0.9450153535076043,0.993650546943718,3,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.7417366607248244,0.01,6,0.347,0.463,0.574,0.739,218.98803632613598,208.75642535493753,19.0088,21.1768,80.9912,185.6096420890807,166.70948929520145,12.0728,12.9735,87.9272,85,18,19
GLW,Information Technology,0.12900030876419125,0.9679862057821892,6,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.657944715877457,0.01,6,0.347,0.463,0.574,0.739,983.335411940188,924.4709355289991,33.7574,41.451,66.2426,643.6374672937229,601.8697716912725,17.3403,19.191,82.6597,85,18,19
GPC,Consumer Discretionary,2.74007438737958,1.0,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.7765244699762122,0.01,6,0.347,0.463,0.574,0.739,542.0870815746852,433.89261437707904,9.5954,10.3291,90.4046,1402.9873344878793,1285.6660398087402,22.7114,26.1455,77.2886,85,18,19
GWW,Industrials,2.0073542469239567,0.9986824313726427,6,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,1.7229550436279562,0.01,6,0.347,0.463,0.574,0.739,228.6465094004174,187.1807268481906,6.5604,6.8778,93.4396,1018.3353200423584,906.6280527005438,22.1592,25.6228,77.8408,85,18,19
HAL,Energy,-2.9912124340371626,0.03572323770264074,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.8912829168907597,0.01,6,0.347,0.463,0.574,0.739,1175.838261397812,1060.7546164563964,21.2163,22.3013,78.7837,2342.506977816847,2159.3315334399986,40.5669,52.4959,59.4331,85,18,19
HAS,Consumer Discretionary,-1.233665820047783,0.6589485106851355,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,3.542052656969754,0.01,0,0.347,0.463,0.574,0.739,136.4280758746534,114.53530098713605,10.3636,10.081,89.6364,272.80056208474156,228.2552345816839,17.2054,17.7748,82.7946,85,18,19
HD,Consumer Discretionary,0.3208642222729664,0.9782817334508286,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.6381647393694823,0.01,6,0.347,0.463,0.574,0.739,1437.1601258174771,1022.7890999906992,3.6143,3.6304,96.3857,4384.953079970924,3544.549989126304,9.2026,8.7576,90.7974,85,18,19
