Ticker,Sector,RMSE,MAE,NRMSE,MAPE (%),MdAPE (%),sMAPE (%),Accuracy (%)
CLX,Consumer Staples,239.49485952483437,191.0066324472251,0.13290502748325994,11.145350962994065,9.522736614150865,10.20441153673236,88.85464903700594
NEM,Materials,724.3749393151904,587.1316397056954,0.22901515628049032,16.79554117080103,13.112674201643351,15.875584420639036,83.20445882919897
MCD,Consumer Discretionary,1562.9835774501848,1473.5331160769256,0.253360930045418,23.4185748711897,24.758179932398622,26.898346603416268,76.5814251288103
LLY,Healthcare,1631.3675285050786,1291.7036620269514,0.1962641845628758,13.41451639799792,12.334371561953885,13.232314440332935,86.58548360200209
BAX,Healthcare,697.4921281126292,563.9255043451634,0.2162095871396868,19.73206561441929,11.197193041559425,17.334556662760804,80.2679343855807
BDX,Healthcare,1459.2982071633767,1330.1021511232912,0.29915912405973255,26.593957133589825,30.754165065342313,23.015083883779184,73.40604286641017
JNJ,Healthcare,4407.175060713925,3869.79237405218,0.19612723335472043,17.568907625313987,21.530716600794047,15.770350708887083,82.43109237468602
GPC,Consumer Discretionary,295.8279068480388,239.5685170063695,0.05126846402144943,4.252762521197742,3.717589978989137,4.372131464222306,95.74723747880226
HPQ,Information Technology,1881.4685138759532,1751.0862441882139,0.1361705517750562,12.56492485951004,13.296249968531813,11.793141462757172,87.43507514048996
WMB,Energy,908.4035949118421,762.7441946302986,0.3311715621260818,26.884561744210888,23.619002817975147,33.115525203712956,73.11543825578912
JPM,Financial ,26288.19127842451,22238.51752113739,0.4268187117991996,35.17072289596831,46.778314243252204,45.871582693292055,64.82927710403169
IFF,Materials,4093.1911115599455,3104.0593009543154,1.3993815766016902,108.6495252098482,83.50340807512653,59.46862195198972,0.0
AXP,Financial ,5762.333543333601,5245.4799202879,0.3354289273725829,30.083483665258235,35.26578654109845,36.283334441309826,69.91651633474177
BAC,Financial ,20108.151363278164,17486.18756349085,0.4607522882378941,39.856584877748986,50.36680242435203,53.067793944746676,60.143415122251014
CI,Healthcare,5782.180446641836,5088.954710798511,0.1190091887918708,9.686479880266372,8.54646907084533,9.26200627333552,90.31352011973362
DUK,Utilities,533.9496307360179,460.946668280815,0.0733850509532735,6.222642344992202,6.900009992866228,6.489903426946647,93.77735765500779
TAP,Consumer Staples,348.9043064431122,325.68037372599815,0.12360658463283812,11.439055317360468,11.03639244981562,12.220833463039083,88.56094468263953
NEE,Utilities,2082.8439692848297,1884.6316103738395,0.33790460241480014,30.421762294248957,33.31005240449525,36.05637087555185,69.57823770575104
DIS,Communication Services,2816.2518716567565,2657.650096317255,0.12753031162689654,11.9706554152488,11.776895789448007,12.822264500907654,88.0293445847512
WFC,Financial ,6268.670132699571,5537.865916782165,0.2115863952711909,19.345924284993156,21.272568135147694,21.53523858225378,80.65407571500684
INTC,Information Technology,8487.573261069287,7620.1690930431305,0.5994895649858228,55.94032932915003,65.17322880279349,41.28420775673503,44.05967067084997
TGT,Consumer Staples,18672.240031646168,15510.190931139412,0.7336256495224801,58.82220861233001,60.40442718627828,41.79828986068092,41.17779138766999
TXT,Industrials,410.1232286293465,333.72321687045184,0.12345672144170583,9.829751085475873,7.687335203647931,10.525663032014704,90.17024891452412
WY,Real Estate,1761.4280183113751,1505.7661315081766,0.9084208449259281,80.2464599774531,81.02647435628462,51.981066262038645,19.7535400225469
WBA,Healthcare,1218.3227458139768,1055.3296055882922,0.03440131994392142,3.0251034421208063,2.251245153900717,2.9797462108923365,96.97489655787919
AIG,Financial ,12531.349436134413,11934.318531855552,1.1732374717848895,135.51226004380527,99.07044498924667,103.09285660789685,0.0
